ID,0
50665038,0
50665039,1
50665036,2
50665037,3
50664983,4
50664984,5
50664985,6
50664986,7
50664987,8
50664988,9
50664953,10
50664925,11
50664926,12
50664915,13
50664914,14
50664761,15
50664786,16
50664806,17
50664805,18
50664803,19
50664812,20
50664792,21
50664759,22
50664760,23
50664762,24
50664763,25
50664764,26
50664765,27
50664766,28
50664769,29
50664770,30
50664771,31
50664773,32
50664774,33
50664775,34
50664776,35
50664777,36
50664778,37
50664779,38
50664780,39
50664781,40
50664782,41
50664783,42
50664784,43
50664785,44
50664787,45
50664788,46
50664789,47
50664790,48
50664791,49
